symptoms,disease
the skin around the veins on my legs is red and inflamed i believe i can see some of the swollen blood vessels i am really worried about it|varicose veins,Varicose Veins
standing or walking for long periods of time causes a lot of pain in my legs i get cramps upon doing physical activities there are bruise marks on my legs too|varicose veins,Varicose Veins
the cramps in my calves are making it difficult for me to walk i feel fatigued after working for some time i believe obesity is the reason behind this|varicose veins,Varicose Veins
a large number of veins are noticeable on my calves|the swelling in my legs has gotten worse over the past few weeks now|varicose veins|which is making me worried,Varicose Veins
the veins on my legs are very noticeable and cause me discomfort it seems like there is a major bruise and i get cramps when i run|varicose veins,Varicose Veins
the skin on my calves has become inflamed and red my legs hurt if i try to run or do any physical activities|varicose veins,Varicose Veins
recently|the pain in my calves has been constant and becomes worse when i stand or walk for long periods of time my legs have started to swell and also some blood vessels are quite noticeable|varicose veins,Varicose Veins
the veins in my legs are causing discomfort and difficulty sleeping at night i have no idea why it is happening i get cramps when i sprint|varicose veins,Varicose Veins
the swelling in my legs is causing me to have difficulty fitting into my shoes i can t sprint or stand for long periods of time i can see some swollen blood vessels|varicose veins,Varicose Veins
i have noticed cramps in my calves are becoming more frequent and intense it is causing me a lot of discomforts i am also overweight and my legs have started to swell|varicose veins,Varicose Veins
the veins on my legs cause a lot of discomforts when i sit for long periods of time|varicose veins,Varicose Veins
the rash on my legs is spreading and becoming more severe it has become very difficult for me to run|varicose veins,Varicose Veins
my legs are causing a lot of discomforts when i exercise i get frequent cramps and the blood vessels have become quite noticeable|varicose veins,Varicose Veins
the prominent blood vessels on my calves are causing self-consciousness and embarrassment i believe the problem is because of my overweight|varicose veins,Varicose Veins
the skin around the veins on my legs is dry and flaky it seems there is a major bruise and my legs have started to swell|varicose veins,Varicose Veins
i have been experiencing a rash on my legs that is causing a lot of irritation and discomfort it is red and inflamed and appears to be spreading|varicose veins,Varicose Veins
especially when i am walking or standing for long periods of time also|my calves have been cramping up frequently|recently|the veins are very noticeable|varicose veins,Varicose Veins
i have noticed that there are bruises on my legs that i cannot explain they are not painful but are concerning to me|varicose veins,Varicose Veins
as i am overweight|i have noticed that my legs are swollen and the blood vessels are more visible than usual the swelling seems to be getting worse over time|varicose veins,Varicose Veins
the veins on my calves are very prominent and are causing me a lot of discomforts they are swollen and protrude from my skin|varicose veins,Varicose Veins
and itchy it is causing a lot of discomforts and i am starting to get regular cramps|inflamed|the skin around the veins on my legs is red|varicose veins,Varicose Veins
standing or walking for long periods of time has been causing a lot of pain in my legs it feels like a cramp and becomes worse the longer i am on my feet|varicose veins,Varicose Veins
the cramps in my calves have been making it difficult for me to walk and do my daily activities they come on suddenly and last for several minutes|varicose veins,Varicose Veins
the swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes it is also causing discomfort when i sit for long periods of time|varicose veins,Varicose Veins
making them visible through my clothing|the veins on my legs are very noticeable and are causing me a lot of discomforts they are swollen and protrude from my skin|varicose veins,Varicose Veins
causing a lot of discomfort and difficulty sleeping at night the blood vessels have started to protrude out|the skin on my calves is itchy and inflamed|varicose veins|which is concerning,Varicose Veins
the pain in my calves is constant and becomes worse when i stand or walk for long periods of time i am getting constant cramps and can t run for longer periods of time|varicose veins,Varicose Veins
making them noticeable and painful|the veins in my legs are causing discomfort and difficulty sleeping at night they are swollen and protruding from my skin|varicose veins,Varicose Veins
the swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when i sit for long periods of time|varicose veins,Varicose Veins
making it difficult for me to walk and do my daily activities|the cramps in my calves are becoming more frequent and intense|varicose veins,Varicose Veins
making them painful and noticeable|the veins on my legs are causing a lot of discomforts when i sit for long periods of time they are swollen and protruding from my skin|varicose veins,Varicose Veins
and itchy|causing a lot of discomfort and difficulty sleeping at night|inflamed|the rash on my legs is spreading and becoming more severe it is red|varicose veins,Varicose Veins
and the veins are prominent and painful i feel fatigued all the time|my legs have been causing a lot of discomforts when i exercise they feel heavy and swollen|varicose veins,Varicose Veins
making them very noticeable|the prominent veins on my calves are causing self-consciousness and embarrassment they are swollen and protrude from my skin|varicose veins,Varicose Veins
causing discomfort and irritation i am also starting to get frequent cramps|the skin around the veins on my legs is dry and flaky|varicose veins,Varicose Veins
and i can see visible veins on the calf|i have a rash on my legs that is giving me a lot of pain there appears to be a cramp|varicose veins,Varicose Veins
my veins of legs have become more visible and swollen than normal they are visible through my skin and it hurts when i move|varicose veins,Varicose Veins
i believe|i m exhausted|is the cause of this after a while of working|varicose veins|walking is tough for me because of cramps in my calves obesity,Varicose Veins
the blood vessels on my legs are quite visible and give me a lot of pain they re large and protrude from my skin it is unusual and i am worried about it|varicose veins,Varicose Veins
i am experiencing cramps every day|i have noticed that the blood vessels in my legs are getting more noticeable than usual it is a little concerning to me moreover|varicose veins,Varicose Veins
my legs swelling has become worse over the last couple of days i can see the blood vessels protruding out of the skin this is quite unusual|varicose veins,Varicose Veins
long durations of standing or walking have caused severe discomfort in my legs it s a burning ache that gets worse the longer i m on my feet|varicose veins,Varicose Veins
i get frequent cramps when i sprint or run|my legs skin around the veins is unusual there appears to be a large bruise nowadays|varicose veins,Varicose Veins
but i am not sure about it|i am experiencing too many cramps in the last couple of days i think something is not right i believe there is a small bruise on my calves|varicose veins,Varicose Veins
i am overweight and i believe this is the reason behind all of this|the veins in my calves are protruding out quite unusually i am worried about it also|varicose veins,Varicose Veins
and it s been really uncomfortable the belly pain has been getting worse and is starting to affect my daily life moreover|followed by a mild fever|i get chills every night|i have constipation and belly pain|typhoid,Typhoid
and it s been accompanied by abdominal cramps and bloating|i ve also had some diarrhea|typhoid|which has been really unpleasant it s been coming and going,Typhoid
along with severe abdominal pain i ve been feeling really miserable overall|and i just can t seem to shake these symptoms|i have been experiencing chills and fever|typhoid,Typhoid
i ve been having a lot of trouble keeping hydrated because of the vomiting and diarrhea there is a mild fever along with constipation and headache|typhoid,Typhoid
headache and belly pain i m really concerned about my health|i ve lost a lot of weight in the past week because i haven t been able to eat much due to nausea and vomiting this is followed by mild fever|typhoid,Typhoid
and i ve had a lot of difficulties doing my usual activities i ve also been feeling really depressed and irritable there is mild pain in the abdominal part too|the fatigue has been really uncomfortable|typhoid,Typhoid
and it s been getting worse it s been accompanied by belly aches|constipation and diarrhea|i ve had a persistent headache for the past week|typhoid,Typhoid
especially at night it s been really uncomfortable there is a mild headache along with constipation and diarrhea|i ve been experiencing fever|typhoid,Typhoid
and i feel like i m constantly nauseous i also have mild belly pain it s been terrifying at times|i ve been having a lot of difficulty breathing|typhoid,Typhoid
and it s been accompanied by abdominal pain i feel like vomiting most of the time|diarrhea has been really watery and foul-smelling|typhoid,Typhoid
headache and chills i wake up every day having a terrible pain in my belly area|i ve been having a lot of trouble sleeping because of the fever|typhoid,Typhoid
i ve also been experiencing some diarrhea and constipation|stabbing pain in my belly area i feel tired all the time|typhoid|which has been really worrying it feels like a sharp,Typhoid
i have had some constipation and belly pain|typhoid|which has been really uncomfortable the pain has been getting worse and it s really affecting my daily life,Typhoid
and because of all of these|i am experiencing a lot of belly pain and constipation|i am feeling very weak|i feel a strong urge to vomit|typhoid|which has been really annoying sometimes,Typhoid
and it s been really unpleasant it s been accompanied by constipation and vomiting i feel really concerned about my health|the abdominal pain has been coming and going|typhoid,Typhoid
and it s been really uncomfortable it feels like there s a lot of pressure and pain in my belly area|i have been experiencing a lot of bloating and constipation|typhoid,Typhoid
i am experiencing extreme belly pain and constipation every night|i have a severe fever along with chills and headaches the last couple of days has been really uncomfortable|typhoid,Typhoid
and i can t seem to get rid of it because of the vomiting and nausea|i ve been feeling exhausted and weak|i ve entirely lost my appetite my belly pains which are causing me concern|typhoid,Typhoid
and it is seriously interfering with my everyday life|i am experiencing constipation and stomach ache|typhoid|which has been really difficult the discomfort has gotten worse,Typhoid
as well as constipation and headache|because of the vomiting and diarrhea|i ve been having a lot of difficulties staying hydrated i have a fever|typhoid,Typhoid
the abdominal pain has been frequent and really painful constipation and vomiting have also occurred i m quite worried about my health|typhoid,Typhoid
i get a headache and chills the last few days have been really painful|i m having severe stomach pain and constipation every night|typhoid,Typhoid
there is a distinct pain in my abdominal part i am not sure what it is i am also going through constant vomiting and feel nauseous|typhoid,Typhoid
and it has been accompanied by severe abdominal pain and headache most of the time|i feel like vomiting|the diarrhea has been quite fluid and smelly|typhoid,Typhoid
i am starting to experience a severe pain in my stomach area and suffering from constipation|i have had a fever for the last couple of days now|typhoid,Typhoid
and as a result|and it s been quite difficult for me to eat anything i ve entirely lost my appetite|i am experiencing a lot of nausea and vomiting|i have become quite weak|typhoid,Typhoid
because of which i can t go to work|i am having a lot of trouble sleeping because of the fever and the headache moreover|i have constant belly pain|typhoid,Typhoid
and i can t seem to get rid of it i have a mild fever and a strange pain in my abdominal area i can t understand what is happening|i have been feeling really fatigued and weak|typhoid,Typhoid
i had a mild fever too|i ve been suffering from constipation and stomach discomfort|typhoid|which has been really uncomfortable last night,Typhoid
and it s accompanied by stomach aches and vomiting|i ve also been suffering from diarrhea|typhoid|which has been really uncomfortable it comes and goes,Typhoid
and extreme stomach discomfort i ve been generally unhappy|and i can t seem to get rid of these symptoms|fever|i ve been experiencing chills|typhoid,Typhoid
as well as stomach pain|because of the vomiting and diarrhea|i ve been having a lot of difficulties staying hydrated there is a mild fever|too|typhoid,Typhoid
and most of the time|i have a mild headache|i have developed diarrhea it is accompanied by severe pain in my belly area i don t feel like eating anything|typhoid,Typhoid
i ve had a lot of bloating and constipation|typhoid|which has been really painful there is a lot of pressure and pain in my stomach area i get a fever and chills every night,Typhoid
and because of which i have become extremely weak|and it is not healing even with medication i feel like vomiting and can t eat anything|i ve had a persistent stomach pain for the past week|typhoid,Typhoid
i am having severe stomach discomfort and diarrhoea i have a fever along with a headache the previous several days have been really unpleasant|typhoid,Typhoid
and i ve been feeling really nauseated i m also experiencing a mild fever i am really worried|i am having a terrible pain in my abdominal part|typhoid,Typhoid
and it is seriously interfering with my everyday life i feel like i have lost my appetite to eat anything|i am experiencing constipation and stomach ache the discomfort has gotten worse|typhoid,Typhoid
i have been vomiting since yesterday|most of the time i feel fatigued i don t want to eat anything i get a fever and chills every night moreover|typhoid,Typhoid
especially in the area of my stomach and intestines i am concerned about my health|i have lost my appetite and have noticed a significant weight loss i have abdominal pain|typhoid,Typhoid
the stomach discomfort has been severe and frequent vomiting and constipation have also happened i m concerned about my health|typhoid,Typhoid
i have been experiencing diarrhea and have had loose|typhoid|watery stools several times a day i have lost my appetite and feel nauseated all the time i am starting to get a mild fever too,Typhoid
and as a result|i am feeling quite weak i m having a lot of stomach discomfort and constipation|i can t eat anything|typhoid|which is really bothering me i have a strong urge to vomit at times,Typhoid
i am starting to get a mild fever along with chills and headaches|there is strange pain in my stomach area i don t know what the reason behind this is moreover|typhoid,Typhoid
as well as constipation and diarrhea i don t feel like eating anything|i ve had a fever|particularly at night it s been quite unpleasant there is a little headache|typhoid,Typhoid
and a headache i am also starting to get a strange pain in my stomach area and i can t do anything physical|constipation|i ve been having a lot of trouble staying hydrated because of the vomiting and diarrhea i have a fever|typhoid,Typhoid
and diarrhea i don t know what is happening and i am really worried about it|constipation|i have been getting a headache for the past week that has been growing worse it has been accompanied by stomach pains|typhoid,Typhoid
and stomach pain|headache|i ve lost a lot of weight in the last week because i couldn t eat much due to nausea and vomiting this is followed by a fever|typhoid,Typhoid
i am having some diarrhea and constipation|painful ache i m constantly exhausted and don t feel like eating anything|there is a severe|typhoid|which has been quite concerning in my stomach,Typhoid
i ve been having diarrhoea and loose|my abdominal part pains a lot i don t know what the reason behind all of these is|typhoid|watery stools many times a day i ve lost my appetite and am always sick i m also developing a mild fever also,Typhoid
and it s driving me crazy i also have a rash that s red and inflamed|chicken pox|i ve been experiencing intense itching all over my skin,Chicken pox
and i ve been feeling lethargic and unable to motivate myself|chicken pox|i m feeling fatigued and have no energy i can barely keep my eyes open during the day,Chicken pox
chicken pox|i noticed rashes on my skin and it s hard for me to resist scratching|i ve had a fever for the past few days i don t know what s causing it also,Chicken pox
chicken pox|i ve lost my appetite and can t seem to eat anything i m worried about my health,Chicken pox
chicken pox|there are small red spots all over my body that i can t explain it s worrying me i feel extremely tired and experience a mild fever every night,Chicken pox
causing discomfort in my neck and armpits i don t know what s causing it|chicken pox|my lymph nodes are swollen,Chicken pox
chicken pox|i m feeling really sick and uncomfortable like something is wrong inside i don t know what it could be i noticed small red spots on my arms|which itches if i touch them,Chicken pox
chicken pox|the itching is making it hard for me to sleep at night i can t get any rest i have also lost my appetite and feel lethargic,Chicken pox
chicken pox|i m worried about this rash on my skin it s spreading rapidly and causing a lot of discomforts i can hardly sleep at night because of the itching,Chicken pox
chicken pox|i have no energy and have lost my appetite i m feeling really sick and don t know what s wrong,Chicken pox
and it s spreading all over my body i ve been experiencing intense itching|chicken pox|especially on my arms and legs|i have a skin rash that s red and inflamed,Chicken pox
and it s starting to worry me i don t know what s causing it also|chicken pox|i have red spots all over my arms and legs|i ve had a fever for the past few days|some of which are swollen,Chicken pox
and it s spreading all over my body i have a mild fever and it is causing me a lot of discomforts|chicken pox|i have a skin rash that s red and swollen,Chicken pox
and i ve been feeling lethargic and unable to motivate myself|chicken pox|i m feeling fatigued and have no energy i can barely keep my eyes open during the day,Chicken pox
chicken pox|there are small red spots all over my body that i can t explain the bumps are itchy and uncomfortable and seem to spread rapidly it s worrying me,Chicken pox
chicken pox|the itching is making it hard for me to sleep at night i can t seem to get any rest because the rash is so itchy and uncomfortable i m feeling really tired and exhausted,Chicken pox
chicken pox|i have no energy and have lost my appetite i have a fever and severe headache and don t know what s wrong,Chicken pox
chicken pox|the fever and swollen lymph nodes are causing me much discomfort i have a headache and feel weak and fatigued it s hard for me to concentrate because of the fever,Chicken pox
chicken pox|especially on my arms and legs|spreading all over my body the rash is accompanied by intense itching|the rash on my skin is causing a lot of discomforts it s red and inflamed,Chicken pox
and they are spreading rapidly|chicken pox|there are red spots all over my body that i can t explain the spots are itchy and starting to swell,Chicken pox
chicken pox|i have small lymph nodes on my arms and face the itching is making my day very uncomfortable,Chicken pox
chicken pox|i have no energy and have lost my appetite i m feeling really sick and don t know what s wrong also|there are small red spots starting to show on my skin,Chicken pox
and it s starting to worry me the fever has been accompanied by a severe headache i feel weak and lethargic|chicken pox|i ve had a mild fever for the past few days,Chicken pox
and they are causing discomfort i also have a mild fever and feel tired most of the time|chicken pox|i have swollen lymph nodes and red spots all over my body,Chicken pox
and it s driving me insane i also have a red and irritating rash|chicken pox|i ve been suffering from severe itching all over my body,Chicken pox
and it s difficult for me not to scratch also|chicken pox|i have seen rashes on my skin|i ve had a fever for several days i m not sure what s causing it,Chicken pox
chicken pox|i am exhausted and have a severe headache|i have little red spots all over my body that i don t understand it worries me i have lost my appetite and every night,Chicken pox
chicken pox|i m feeling really sick and lost my appetite i ve seen little red patches on my arms|neck and face that itch when i touch them,Chicken pox
chicken pox|i have red spots on my arms and legs and itching them makes it difficult for me to sleep at night i also have severe headaches and a mild fever,Chicken pox
chicken pox|enlarged lymph nodes are giving me a great deal of pain i have rashes all over my body and because of which i cannot sleep all night,Chicken pox
and it s spreading throughout my body|chicken pox|my skin rash is giving me a lot of pain and discomfort it s red and swollen,Chicken pox
chicken pox|i have a fever and a mild headache i m tired most of the time and completely lost my appetite,Chicken pox
chicken pox|my arms and face have small lymph nodes|which are starting to swell my day has been made really miserable by the constant itching and pain,Chicken pox
chicken pox|my arms and neck have large lymph nodes|which itch when i touch them the itching has made my day extremely uncomfortable,Chicken pox
chicken pox|headache and fatigue|i have had a severe fever|my skin rash is causing me a great deal of pain there are also small red spots developing near my neck since yesterday,Chicken pox
and it itches when i touch them the itching is making my day very uncomfortable|chicken pox|i am starting to develop tiny red spots all over my face and neck area,Chicken pox
chicken pox|i have lost my appetite completely and can t seem to eat anything i feel like vomiting and feel exhausted i noticed rashes on my skin|which is really concerning me,Chicken pox
chicken pox|i have a fever and a severe headache i can t seem to eat anything and feel like vomiting there are also some red spots developing on my arms i am really worried,Chicken pox
chicken pox|i m worried about these red spots on my skin it s spreading rapidly and causing a lot of problems i also developed a mild fever and headache every night,Chicken pox
chicken pox|i m feeling really nauseous and uneasy i m not sure what it might be i ve seen rashes on my arms and legs i have lost my appetite and feel exhausted every day,Chicken pox
chicken pox|i have swollen red lymph nodes on my arms and legs that itch when i touch them i m also suffering from a terrible headache and a mild fever i don t feel like eating anything and have lost my appetite,Chicken pox
chicken pox|i m really exhausted and lacking in energy i can hardly keep my eyes open during the day i have a mild fever and don t feel like eating anything i think i have lost my appetite,Chicken pox
chicken pox|i am exhausted and have lost my appetite i feel vomiting and can t eat anything in addition|little red spots are beginning to appear on my skin and near the neck i am really worried about my health,Chicken pox
chicken pox|there are small red spots all over my body the spots are itchy and uncomfortable i also have a mild fever and headache,Chicken pox
along with a fever and headache the red spots are starting to swell and it is getting really uncomfortable every day|chicken pox|i ve been suffering from severe itching all over my body,Chicken pox
chicken pox|i feel tired every day there are red spots all over my arms and back and it itches if i touch them i am really worried and not sure what to do,Chicken pox
chicken pox|swollen lymph nodes and headache are causing me a lot of trouble i don t feel like eating anything and feel weak and fatigued it s hard for me to concentrate on my daily life|the fever,Chicken pox
chicken pox|i have a fever and red spots and rashes all over my body i feel exhausted and have completely lost my appetite|which has made me weak and lethargic i am really worried,Chicken pox
chicken pox|i have seen rashes on my arms and neck and it itches if i scratch them i ve also had a fever for a few days i have no idea what is causing it the itching is causing me a lot of discomforts,Chicken pox
chicken pox|i also have a fever and headache and always feel exhausted|there are red swollen spots all over my body it itches if i touch them moreover,Chicken pox
i have developed a skin rash on my face and neck the rash is made up of red sores that are blistering i am worried about my health|impetigo,Impetigo
fluid-filled lesions and they are painful to touch i am also suffering from a fever|i have developed skin rashes made up of blistering sores the blistering sores are raised|impetigo,Impetigo
i have a fever there are red sores developing near my nose the sores are painful and have yellow rust-colored ooze coming out from them|impetigo,Impetigo
i have a fever every night|impetigo|there are rashes around my nose|with large red sores i noticed that the rash was spreading to other parts of my body also,Impetigo
i have been suffering from a fever for the last couple of days sores are developing near my nose the sores are painful and i am feeling very uncomfortable these days|impetigo,Impetigo
impetigo|mainly near the nose the rash is spreading to other parts of my body i am really about worried about this|my skin has developed rashes,Impetigo
i have been experiencing extreme fatigue and a fever there are rashes near my nose and mouth the rash is itchy and makes it very difficult for me to sleep|impetigo,Impetigo
a yellow colored ooze comes out of the sores|i am suffering from extreme fever and weakness i have developed sores on my face the sores itchy and uncomfortable often|impetigo,Impetigo
i have noticed that the sores are taking longer to heal and are more prone to infection the sores on my face are swollen and tender to the touch and very uncomfortable to handle|impetigo,Impetigo
impetigo|there are red sores on my face and near my nose i have noticed that the rash is spreading more quickly on my neck and chest,Impetigo
impetigo|the sores around my nose have become crusted over and are difficult to touch a yellow-rust coloured ooze used to come out of the sores it is taking much more time to handle,Impetigo
i developed a minor rash near my nose a few days ago now|impetigo|the rash is accompanied by a burning sensation and redness of the skin i feel it is some kind of an infection,Impetigo
i am having a fever and the sores have become more painful and inflamed over the past few days|i developed small red sores near my nose and neck now|impetigo|initially,Impetigo
i am not sure what it is|i noticed a skin rash on my face it was made up of a blistering sore today i observed a yellow colored fluid coming out of the sores|impetigo,Impetigo
because of which i cannot sleep all night|every night i get a fever and chills|impetigo|the sores on my face are beginning to weep clear fluid also,Impetigo
i initially had rashes on my face and near my nose but now the rash is spreading down my arms and legs|impetigo,Impetigo
i have a fever every night and developed sores on my face|impetigo|particularly near my nose i have noticed that the sores are taking longer to heal and are more prone to infection,Impetigo
impetigo|inflamed skin the rash has caused my skin to become dry and flaky|the sores around my nose are now surrounded by red|with a visible yellow colored fluid coming out of the sores,Impetigo
i have also been experiencing flu-like symptoms|impetigo|such as fever and body pain i have noticed red rashes and blistering sores near my nose and lips it s itchy and uncomfortable,Impetigo
i am suffering from mild fever and headache there are small sores near my nose and rashes on my neck i am going through a very tough time right now|impetigo,Impetigo
impetigo|there is a rash particularly bad around my nose|with large red sores that are painful and have yellow rust-colored ooze coming from them,Impetigo
and there is a discharge of yellow or rust-colored fluid from them|impetigo|there are sores on my face and mostly near my nose and lips the sores are causing discomfort or pain,Impetigo
and i have a burning sensation and redness of the skin|i have been developing sores on my face and nose area i am not sure what is causing this the sores on my face are swollen and tender to the touch|impetigo,Impetigo
and the sores are beginning to weep clear fluid it is getting extremely painful with each day|impetigo|the rash on my face has become more painful and inflamed over the past few days,Impetigo
i have rashes on my face i am starting to have small sores around my nose and often a yellow fluid comes out of the sores the sores are becoming extremely painful|impetigo,Impetigo
i am feeling really sick i have a fever and headache i noticed rashes on my arms and face i am extremely worried about this today|i observed red sores near my nose|impetigo,Impetigo
and i m feeling really uneasy these days|i ve been suffering from a fever for the past few days sores are forming around my nose and there are rashes on different parts of my body the sores are severe|impetigo,Impetigo
